@SenatorRisch,Jim,Risch,0.72,0.93,0.67,0.45,0.17,0.88,0.67,0.95,0.98,0.93,0.86,0.62,0.94,0.93,0.86,0.96,0.97,0.42,0.15,0.85,0.42,0.92,0.94,0.73,0.59,0.88,0.99,0.86,0.85,0.16,0.17,0.09,0.01,0.04,0.09,0.39,0.6,0.45,0.14,0.39,0.22,0.14,0.4,0.08,0.3,0.85,0.86,0.38,0.28,0.09,0.1,0.33
@SenJeffMerkley,Jeff,Merkley,0.7,0.98,0.56,0.14,0.18,0.97,0.83,0.91,0.98,0.97,0.7,0.73,0.98,0.98,0.77,0.97,0.99,0.37,0.3,0.83,0.5,0.45,0.88,0.59,0.31,0.84,0.99,0.77,0.93,0.02,0.02,0.04,0.0,0.02,0.01,0.39,0.15,0.52,0.16,0.16,0.12,0.16,0.16,0.25,0.16,0.67,0.81,0.17,0.3,0.05,0.04,0.18
@SenBennetCO,Michael,Bennet,0.61,0.97,0.49,0.14,0.17,0.92,0.62,0.92,0.99,0.97,0.79,0.73,0.98,0.98,0.68,0.98,0.99,0.52,0.25,0.84,0.57,0.69,0.87,0.74,0.47,0.89,0.98,0.88,0.92,0.02,0.02,0.05,0.0,0.01,0.03,0.47,0.31,0.49,0.2,0.3,0.14,0.22,0.3,0.25,0.23,0.67,0.86,0.29,0.26,0.03,0.02,0.25
@SenGillibrand,Kristen,Gillibrand,0.7,0.98,0.65,0.52,0.15,0.91,0.85,0.94,0.99,0.98,0.75,0.6,0.98,0.95,0.74,0.98,0.99,0.3,0.12,0.79,0.3,0.74,0.97,0.75,0.63,0.96,0.99,0.7,0.9,0.02,0.03,0.06,0.0,0.02,0.04,0.35,0.5,0.72,0.14,0.42,0.21,0.22,0.31,0.13,0.33,0.91,0.85,0.22,0.29,0.08,0.04,0.48
@alfranken,Al,Franken,0.61,0.94,0.34,0.27,0.16,0.86,0.51,0.93,0.98,0.88,0.78,0.56,0.96,0.97,0.79,0.96,0.99,0.43,0.3,0.89,0.62,0.69,0.92,0.54,0.42,0.82,0.99,0.75,0.9,0.08,0.08,0.08,0.01,0.02,0.05,0.41,0.27,0.26,0.21,0.22,0.16,0.18,0.2,0.25,0.23,0.69,0.78,0.23,0.21,0.07,0.06,0.21
@Sen_JoeManchin,Joe,Manchin,0.67,0.92,0.67,0.39,0.14,0.81,0.73,0.92,0.99,0.95,0.78,0.59,0.95,0.96,0.77,0.98,0.98,0.58,0.22,0.86,0.55,0.86,0.93,0.77,0.55,0.89,0.99,0.93,0.87,0.07,0.1,0.06,0.01,0.02,0.09,0.33,0.62,0.49,0.15,0.47,0.12,0.17,0.39,0.07,0.23,0.83,0.84,0.35,0.37,0.05,0.09,0.39
@ChrisCoons,Chris,Coons,0.58,0.99,0.7,0.37,0.26,0.94,0.84,0.88,0.99,0.96,0.7,0.62,0.97,0.98,0.7,0.99,0.99,0.46,0.32,0.83,0.49,0.76,0.94,0.66,0.43,0.88,0.99,0.89,0.77,0.06,0.06,0.05,0.0,0.03,0.04,0.56,0.51,0.71,0.21,0.54,0.32,0.31,0.52,0.2,0.43,0.91,0.87,0.33,0.34,0.06,0.1,0.39
@SenatorKirk,Mark,Kirk,0.67,0.97,0.6,0.39,0.22,0.9,0.71,0.94,0.98,0.97,0.69,0.67,0.98,0.95,0.68,0.96,0.98,0.26,0.15,0.73,0.29,0.71,0.91,0.61,0.75,0.92,0.99,0.61,0.91,0.08,0.06,0.09,0.0,0.03,0.06,0.17,0.39,0.52,0.12,0.34,0.13,0.18,0.24,0.15,0.27,0.9,0.86,0.21,0.17,0.04,0.0,0.39
@SenDanCoats,Dan,Coats,0.8,0.92,0.56,0.19,0.24,0.93,0.76,0.94,0.98,0.92,0.8,0.56,0.94,0.97,0.74,0.92,0.98,0.22,0.26,0.69,0.37,0.75,0.85,0.5,0.38,0.7,0.98,0.81,0.86,0.23,0.21,0.1,0.01,0.06,0.08,0.23,0.28,0.25,0.08,0.13,0.1,0.04,0.21,0.1,0.18,0.74,0.76,0.25,0.16,0.05,0.08,0.09
@RoyBlunt,Roy,Blunt,0.44,0.91,0.47,0.54,0.06,0.73,0.48,0.93,0.99,0.98,0.82,0.63,0.98,0.97,0.79,0.99,0.98,0.62,0.09,0.85,0.41,0.97,0.96,0.83,0.74,0.97,0.99,0.87,0.84,0.05,0.07,0.05,0.0,0.01,0.08,0.28,0.82,0.6,0.09,0.8,0.14,0.29,0.49,0.12,0.44,0.96,0.87,0.47,0.23,0.05,0.01,0.64
